Policy Number,Number of Vehicles,Average Age,Gender Dummy,Married Dummy,Avg Veh Age,Fuel Type Dummy,Losses
150023,1,20.6,1,0,12.97,0,203.3195946
152720,1,42.4,0,1,8.02,0,402.1973024
174207,1,42.4,1,0,2.5,1,553.1320959
139895,1,42.4,0,0,12.97,0,292.4305792
174407,1,20.6,1,1,12.97,0,246.5405761
170545,1,42.4,1,0,8.02,0,384.6763948
123164,1,42.4,0,1,2.5,0,462.1588562
147118,1,65.1,0,0,12.97,0,168.9340361
119842,1,65.1,1,1,2.5,0,69.89304091
192628,1,20.6,0,1,12.97,0,242.7725761
154593,1,20.6,1,1,12.97,1,763.7298567
182495,1,42.4,0,1,12.97,0,407.3893742
173214,1,20.6,0,0,12.97,0,161.5795211
124315,1,65.1,1,0,8.02,0,242.8887756
189976,1,42.4,1,0,8.02,0,358.521705
109823,1,42.4,1,0,12.97,0,314.6620972
140529,1,65.1,1,1,12.97,0,306.7395011
108345,1,20.6,1,1,12.97,1,772.6448203
197526,1,65.1,1,1,2.5,1,593.4274113
164235,1,65.1,1,0,2.5,0,275.2144091
112321,1,42.4,0,1,8.02,0,472.5998112
140896,1,20.6,1,1,12.97,1,877.0778833
136526,1,42.4,0,1,2.5,1,825.2772277
177965,1,65.1,0,1,8.02,0,273.1567349
154647,1,20.6,0,1,12.97,0,220.6385329
127564,1,42.4,1,1,12.97,0,169.3764585
180980,1,65.1,0,0,2.5,0,98.07355841
173004,1,42.4,1,0,2.5,1,680.1630093
168613,1,42.4,0,0,12.97,0,210.312302
102189,1,20.6,0,0,8.02,0,354.1103301
190883,1,65.1,0,0,8.02,0,155.7208447
162323,1,42.4,1,0,2.5,1,670.8921754
124254,1,42.4,1,1,2.5,0,446.7508297
168484,1,65.1,1,0,2.5,0,109.0263426
184955,1,65.1,0,0,8.02,0,119.7330443
188699,1,42.4,1,1,8.02,0,454.8247336
152298,1,20.6,1,1,8.02,1,845.7592784
137739,1,42.4,1,1,12.97,0,274.3142835
102090,1,42.4,0,1,2.5,1,791.135206
164014,1,42.4,0,1,8.02,0,355.2515755
140277,1,42.4,1,0,2.5,1,522.8312209
183688,1,65.1,1,1,2.5,0,347.0821846
189679,1,42.4,0,1,2.5,0,381.7477309
139993,1,20.6,1,1,12.97,1,747.5273873
101061,1,42.4,1,0,8.02,0,391.2383998
163029,1,42.4,1,0,12.97,0,330.1933096
196673,1,20.6,1,1,8.02,1,904.8401349
154414,1,42.4,0,1,8.02,0,387.4851589
152345,1,20.6,1,0,12.97,0,481.5460256
159755,1,42.4,1,0,12.97,0,178.4623223
196090,1,20.6,1,0,8.02,1,597.4422021
124743,1,42.4,1,1,8.02,0,448.7108596
160933,1,65.1,0,0,2.5,0,218.5837842
170212,1,65.1,0,0,8.02,0,227.6644878
174318,1,65.1,0,1,2.5,1,720.2641611
182975,1,20.6,1,1,8.02,1,950.9628027
127853,1,42.4,1,1,12.97,0,368.9411753
101368,1,20.6,0,0,12.97,0,191.4841522
168719,1,42.4,1,1,8.02,1,503.3720137
131825,1,20.6,1,0,12.97,0,264.7891684
198279,1,65.1,1,1,8.02,0,341.9072784
118353,1,20.6,0,0,12.97,0,204.9823703
164749,1,42.4,1,1,2.5,1,707.3793245
180133,1,42.4,0,1,2.5,1,865.1666105
174077,1,20.6,0,0,8.02,0,435.088519
155060,1,20.6,1,1,2.5,1,1095.601585
150870,1,20.6,1,0,12.97,0,373.3754632
180138,1,65.1,1,0,12.97,0,48.01445411
185934,1,42.4,0,1,12.97,0,447.2328034
153908,1,20.6,1,1,12.97,1,665.4768153
169358,1,20.6,1,0,12.97,0,316.9985022
153822,1,65.1,1,1,2.5,0,388.6544422
140129,1,20.6,0,1,12.97,0,405.6484005
122434,1,65.1,0,1,12.97,0,46.01271223
149010,1,20.6,1,0,12.97,0,354.6611912
151476,1,20.6,0,1,12.97,0,296.8081537
106521,1,65.1,0,1,2.5,0,217.1205792
168963,1,42.4,1,0,8.02,0,375.6052838
115414,1,65.1,1,1,12.97,0,25.88680711
164992,1,42.4,0,0,2.5,1,606.3573767
133639,1,42.4,1,1,12.97,0,351.1678295
122437,1,65.1,0,0,12.97,0,15.5892684
137595,1,42.4,1,1,2.5,1,738.9508303
187253,1,20.6,0,0,12.97,0,183.0600479
156504,1,20.6,1,0,12.97,0,311.353198
162843,1,65.1,0,0,12.97,0,260.2725911
115549,1,42.4,0,0,8.02,0,322.0024982
135122,1,42.4,1,1,8.02,1,596.3227132
160917,1,65.1,1,0,12.97,0,162.3570971
185458,1,20.6,1,0,12.97,1,525.0439169
160510,1,42.4,0,0,8.02,0,329.6301926
140871,1,20.6,1,1,12.97,0,413.8328632
176448,1,42.4,1,0,2.5,1,593.2666445
198278,1,20.6,0,1,12.97,0,411.5067461
172292,1,42.4,0,1,8.02,0,394.9982853
193942,1,65.1,0,0,8.02,0,59.00575916
171408,1,42.4,1,1,2.5,1,574.8216925
191865,1,65.1,0,1,2.5,0,84.75366158
195418,1,42.4,1,1,8.02,1,552.2467274
128036,1,65.1,1,1,8.02,0,78.38607932
199870,1,42.4,1,0,8.02,0,314.085069
147315,1,20.6,1,1,2.5,1,3500
190621,1,20.6,1,1,12.97,0,3250
142474,1,65.1,1,1,8.02,0,2850
194236,1,65.1,0,1,8.02,0,2534.63946
185366,1,42.4,1,0,2.5,1,2852.18873
142085,1,20.6,0,0,12.97,0,2879.067137
114164,1,42.4,0,0,2.5,1,2814.312522
164185,1,20.6,0,1,8.02,1,2879.176458
103178,1,42.4,0,1,12.97,0,3462.340629
140879,1,42.4,1,1,8.02,0,3332.771801
174443,1,65.1,0,1,12.97,0,3226.612176
121044,1,65.1,0,0,2.5,0,235.1357629
185091,1,65.1,0,0,2.5,0,60.82862632
104797,1,20.6,1,1,8.02,1,750.7435809
136204,1,42.4,0,0,8.02,0,314.6819894
112619,1,20.6,1,1,8.02,1,1197.444316
178782,1,20.6,0,1,12.97,1,610.5008673
130506,1,20.6,1,1,12.97,1,867.5781431
107433,1,42.4,0,0,12.97,0,284.2330566
122086,1,42.4,1,0,12.97,0,142.5319857
120837,1,42.4,1,1,8.02,0,443.1218792
119860,1,20.6,1,1,12.97,1,1086.924905
100079,1,20.6,1,0,2.5,1,681.5827516
107878,1,42.4,1,0,12.97,0,268.5415695
111243,1,42.4,1,0,2.5,0,429.8250505
141643,1,42.4,0,1,12.97,0,217.9595747
121584,1,65.1,0,0,8.02,0,287.7680412
183067,1,42.4,0,0,2.5,0,387.1689797
184637,1,20.6,0,1,12.97,0,233.2261935
129471,1,20.6,0,0,12.97,0,296.220441
181752,1,42.4,0,1,8.02,0,381.6263384
145728,1,65.1,1,1,2.5,0,97.82479138
138354,1,42.4,0,1,2.5,0,427.346936
149411,1,20.6,1,1,12.97,1,534.6193671
155379,1,20.6,0,0,12.97,0,322.9551348
189763,1,65.1,1,0,2.5,0,313.1380724
