,Price,Age,KM,FuelType,HP,MetColor,Automatic,CC,Doors,Weight,AutoType,MetColorType
1,13500,23,46986,Diesel,90,1,0,2000,3,1165,Manual,Metcolor
2,13750,23,72937,Diesel,90,1,0,2000,3,1165,Manual,Metcolor
3,13950,24,41711,Diesel,90,1,0,2000,3,1165,Manual,Metcolor
4,14950,26,48000,Diesel,90,0,0,2000,3,1165,Manual,NonMetcolor
5,13750,30,38500,Diesel,90,0,0,2000,3,1170,Manual,NonMetcolor
6,12950,32,61000,Diesel,90,0,0,2000,3,1170,Manual,NonMetcolor
7,16900,27,94612,Diesel,90,1,0,2000,3,1245,Manual,Metcolor
8,18600,30,75889,Diesel,90,1,0,2000,3,1245,Manual,Metcolor
9,21500,27,19700,Petrol,192,0,0,1800,3,1185,Manual,NonMetcolor
10,12950,23,71138,Diesel,69,0,0,1900,3,1105,Manual,NonMetcolor
11,20950,25,31461,Petrol,192,0,0,1800,3,1185,Manual,NonMetcolor
12,19950,22,43610,Petrol,192,0,0,1800,3,1185,Manual,NonMetcolor
13,19600,25,32189,Petrol,192,0,0,1800,3,1185,Manual,NonMetcolor
14,21500,31,23000,Petrol,192,1,0,1800,3,1185,Manual,Metcolor
15,22500,32,34131,Petrol,192,1,0,1800,3,1185,Manual,Metcolor
16,22000,28,18739,Petrol,192,0,0,1800,3,1185,Manual,NonMetcolor
17,22750,30,34000,Petrol,192,1,0,1800,3,1185,Manual,Metcolor
18,17950,24,21716,Petrol,110,1,0,1600,3,1105,Manual,Metcolor
19,16750,24,25563,Petrol,110,0,0,1600,3,1065,Manual,NonMetcolor
20,16950,30,64359,Petrol,110,1,0,1600,3,1105,Manual,Metcolor
21,15950,30,67660,Petrol,110,1,0,1600,3,1105,Manual,Metcolor
22,16950,29,43905,Petrol,110,0,1,1600,3,1170,Auto,NonMetcolor
23,15950,28,56349,Petrol,110,1,0,1600,3,1120,Manual,Metcolor
24,16950,28,32220,Petrol,110,1,0,1600,3,1120,Manual,Metcolor
25,16250,29,25813,Petrol,110,1,0,1600,3,1120,Manual,Metcolor
26,15950,25,28450,Petrol,110,1,0,1600,3,1120,Manual,Metcolor
27,17495,27,34545,Petrol,110,1,0,1600,3,1120,Manual,Metcolor
28,15750,29,41415,Petrol,110,1,0,1600,3,1120,Manual,Metcolor
29,16950,28,44142,Petrol,110,0,0,1600,3,1120,Manual,NonMetcolor
30,17950,30,11090,Petrol,110,1,0,1600,3,1120,Manual,Metcolor
31,12950,29,9750,Petrol,97,1,0,1400,3,1100,Manual,Metcolor
32,15750,22,35199,Petrol,97,1,0,1400,3,1100,Manual,Metcolor
33,15950,27,29510,Petrol,97,1,0,1400,3,1100,Manual,Metcolor
34,14950,26,32692,Petrol,97,1,0,1400,3,1100,Manual,Metcolor
35,15500,22,41000,Petrol,97,1,0,1400,3,1100,Manual,Metcolor
36,15750,26,43000,Petrol,97,0,0,1400,3,1100,Manual,NonMetcolor
37,15950,25,25000,Petrol,97,0,0,1400,3,1100,Manual,NonMetcolor
38,14950,23,10000,Petrol,97,1,0,1400,3,1100,Manual,Metcolor
39,15750,32,25329,Petrol,97,1,0,1400,3,1100,Manual,Metcolor
40,14750,27,27500,Petrol,97,0,0,1400,3,1100,Manual,NonMetcolor
41,13950,22,49059,Petrol,97,0,0,1400,3,1100,Manual,NonMetcolor
42,16750,27,44068,Petrol,97,1,0,1400,3,1100,Manual,Metcolor
43,13950,22,46961,Petrol,97,0,0,1400,3,1100,Manual,NonMetcolor
44,16950,27,110404,Diesel,90,0,0,2000,5,1255,Manual,NonMetcolor
45,16950,22,100250,Diesel,90,0,0,2000,5,1255,Manual,NonMetcolor
46,19000,23,84000,Diesel,90,0,0,2000,5,1270,Manual,NonMetcolor
47,17950,27,79375,Diesel,90,1,0,2000,5,1255,Manual,Metcolor
48,15800,22,75048,Petrol,97,1,0,1400,5,1110,Manual,Metcolor
49,17950,22,72215,Diesel,90,1,0,2000,5,1255,Manual,Metcolor
50,21950,31,64982,Petrol,192,1,0,1800,5,1195,Manual,Metcolor
51,17950,22,62636,Diesel,90,1,0,2000,5,1255,Manual,Metcolor
52,15750,30,57086,Petrol,97,1,0,1400,5,1110,Manual,Metcolor
53,20500,26,56000,Petrol,110,1,1,1600,5,1180,Auto,Metcolor
54,21950,27,49866,Petrol,192,1,0,1800,5,1195,Manual,Metcolor
55,15500,25,49163,Petrol,110,0,1,1600,5,1165,Auto,NonMetcolor
56,13250,32,45725,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
57,15250,28,43210,Petrol,97,0,0,1400,5,1110,Manual,NonMetcolor
58,15250,26,43000,Petrol,97,0,0,1400,5,1110,Manual,NonMetcolor
59,18950,23,39704,Petrol,110,1,1,1600,5,1180,Auto,Metcolor
60,15999,30,38950,Petrol,110,1,0,1600,5,1130,Manual,Metcolor
61,14950,22,37400,Petrol,97,1,0,1400,5,1110,Manual,Metcolor
62,16500,27,37177,Petrol,110,0,0,1600,5,1130,Manual,NonMetcolor
63,18750,31,36544,Petrol,110,1,0,1600,5,1130,Manual,Metcolor
64,17950,30,33511,Petrol,110,1,0,1600,5,1130,Manual,Metcolor
65,17950,27,32809,Petrol,97,1,0,1400,5,1110,Manual,Metcolor
66,16950,26,32181,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
67,18950,28,30993,Petrol,110,1,0,1600,5,1130,Manual,Metcolor
68,14950,22,30400,Petrol,97,1,0,1400,5,1110,Manual,Metcolor
69,22250,22,30000,Diesel,110,1,0,2000,5,1275,Manual,Metcolor
70,15950,25,29719,Petrol,97,1,0,1400,5,1110,Manual,Metcolor
71,15950,28,29206,Petrol,97,1,0,1400,5,1110,Manual,Metcolor
72,12995,32,29198,Petrol,97,1,0,1400,5,1060,Manual,Metcolor
73,18950,28,28817,Petrol,110,1,0,1598,5,1130,Manual,Metcolor
74,15750,23,28227,Petrol,97,1,0,1400,5,1110,Manual,Metcolor
75,19950,28,28000,Petrol,110,0,0,1600,5,1130,Manual,NonMetcolor
76,16950,23,28000,Petrol,110,1,0,1600,5,1115,Manual,Metcolor
77,18750,31,25266,Petrol,110,1,0,1600,5,1130,Manual,Metcolor
78,18450,27,23489,Petrol,110,0,0,1600,5,1115,Manual,NonMetcolor
79,16895,29,22575,Petrol,110,1,0,1600,5,1115,Manual,Metcolor
80,14900,30,22000,Petrol,97,1,0,1400,5,1110,Manual,Metcolor
81,18950,25,20019,Petrol,110,1,1,1600,5,1180,Auto,Metcolor
82,17250,29,20000,Petrol,110,1,0,1600,5,1115,Manual,Metcolor
83,15450,25,17003,Petrol,97,1,0,1400,5,1110,Manual,Metcolor
84,17950,31,16238,Petrol,110,1,1,1600,5,1180,Auto,Metcolor
85,16650,25,15414,Petrol,97,1,0,1400,5,1110,Manual,Metcolor
86,17450,28,8537,Petrol,110,1,0,1600,5,1130,Manual,Metcolor
87,14900,30,7000,Petrol,97,1,0,1400,5,1100,Manual,Metcolor
88,17950,20,66966,Diesel,90,1,0,2000,3,1245,Manual,Metcolor
89,15950,19,51884,Petrol,97,1,0,1400,3,1100,Manual,Metcolor
90,21950,19,50005,Diesel,110,1,0,2000,3,1265,Manual,Metcolor
91,16450,20,48110,Petrol,97,1,0,1400,3,1100,Manual,Metcolor
92,22250,20,37500,Diesel,90,1,0,2000,3,1260,Manual,Metcolor
93,19950,16,34472,Diesel,90,1,0,1995,3,1260,Manual,Metcolor
94,15950,20,33329,Petrol,97,1,0,1400,3,1100,Manual,Metcolor
95,18900,20,31850,Petrol,110,0,0,1600,3,1120,Manual,NonMetcolor
96,19950,17,30351,Diesel,90,1,0,1995,3,1260,Manual,Metcolor
97,15950,19,29435,Petrol,97,1,0,1400,3,1100,Manual,Metcolor
98,15950,19,25948,Petrol,97,1,0,1400,3,1100,Manual,Metcolor
99,18750,11,24500,Petrol,110,1,0,1600,3,1120,Manual,Metcolor
100,17450,18,23902,Petrol,97,1,0,1400,3,1100,Manual,Metcolor
101,18990,20,23175,Petrol,110,1,0,1600,3,1120,Manual,Metcolor
102,16250,19,19200,Petrol,97,1,0,1400,3,1100,Manual,Metcolor
103,18500,13,18000,Petrol,71,0,0,1400,3,1125,Manual,NonMetcolor
104,18500,11,16123,Petrol,110,1,0,1600,3,1105,Manual,Metcolor
105,19450,11,14635,Petrol,110,1,1,1600,3,1155,Auto,Metcolor
106,16950,19,13748,Petrol,97,1,0,1400,3,1100,Manual,Metcolor
107,18800,14,11500,Petrol,110,1,0,1600,3,1045,Manual,Metcolor
108,17450,17,10000,Petrol,97,1,0,1400,3,1100,Manual,Metcolor
109,17950,20,7187,Petrol,110,1,0,1600,3,1105,Manual,Metcolor
110,32500,4,1,Diesel,116,0,0,2000,5,1480,Manual,NonMetcolor
111,31000,4,4000,Diesel,116,1,0,2000,5,1480,Manual,Metcolor
112,31275,4,1500,Diesel,116,1,0,2000,5,1480,Manual,Metcolor
113,24950,8,13253,Diesel,116,1,0,2000,5,1320,Manual,Metcolor
114,24950,8,13253,Diesel,116,1,0,2000,5,1320,Manual,Metcolor
115,22950,7,10000,Diesel,116,1,0,2000,5,1270,Manual,Metcolor
116,24990,8,6000,Diesel,90,1,0,2000,5,1280,Manual,Metcolor
117,21950,8,10841,Diesel,90,1,0,2000,5,1270,Manual,Metcolor
118,17900,7,1,Petrol,110,1,0,1600,3,1105,Manual,Metcolor
119,19250,20,63000,Diesel,90,1,0,2000,5,1255,Manual,Metcolor
120,22250,17,57313,Diesel,110,1,0,2000,5,1275,Manual,Metcolor
121,18950,13,57037,Petrol,110,0,0,1600,5,1115,Manual,NonMetcolor
122,19950,19,51099,Diesel,90,1,0,2000,5,1255,Manual,Metcolor
123,16350,14,40010,Petrol,110,1,0,1600,5,1115,Manual,Metcolor
124,18950,20,39115,Petrol,110,1,0,1600,5,1130,Manual,Metcolor
125,16950,17,36012,Petrol,110,0,0,1600,5,1130,Manual,NonMetcolor
126,21750,16,36000,Petrol,110,1,0,1600,5,1130,Manual,Metcolor
127,15950,20,36000,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
128,16500,20,35000,Petrol,97,1,0,1400,5,1110,Manual,Metcolor
129,17950,17,33740,Petrol,97,1,0,1400,5,1135,Manual,Metcolor
130,15850,13,33477,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
131,16250,20,32627,Petrol,97,1,0,1400,5,1110,Manual,Metcolor
132,15950,20,29797,Petrol,97,1,0,1400,5,1110,Manual,Metcolor
133,16250,19,29441,Petrol,97,1,0,1400,5,1110,Manual,Metcolor
134,15950,13,29371,Petrol,110,1,0,1600,4,1105,Manual,Metcolor
135,16500,20,29000,Petrol,97,0,0,1400,5,1110,Manual,NonMetcolor
136,16500,19,27821,Petrol,97,0,0,1400,5,1110,Manual,NonMetcolor
137,18450,19,27371,Petrol,97,0,0,1400,5,1135,Manual,NonMetcolor
138,16250,13,25170,Petrol,110,1,0,1600,5,1105,Manual,Metcolor
139,23000,11,25000,Diesel,116,1,0,2000,5,1320,Manual,Metcolor
140,19900,20,23000,Petrol,110,1,0,1600,5,1130,Manual,Metcolor
141,16450,20,22588,Petrol,97,1,0,1400,5,1110,Manual,Metcolor
142,23950,19,21684,Petrol,192,1,0,1800,5,1185,Manual,Metcolor
143,19950,13,21428,Petrol,110,1,0,1600,5,1130,Manual,Metcolor
144,18500,16,20629,Petrol,110,1,0,1600,4,1090,Manual,Metcolor
145,18950,15,20270,Petrol,110,1,0,1600,5,1130,Manual,Metcolor
146,16450,16,20105,Petrol,97,0,0,1400,5,1110,Manual,NonMetcolor
147,20500,20,20000,Petrol,110,0,1,1600,5,1165,Auto,NonMetcolor
148,24500,13,19988,Petrol,110,1,0,1600,5,1130,Manual,Metcolor
149,19450,19,18328,Petrol,110,0,0,1600,5,1130,Manual,NonMetcolor
150,20950,14,17896,Petrol,110,1,1,1600,4,1150,Auto,Metcolor
151,17200,20,17300,Petrol,97,1,0,1400,5,1110,Manual,Metcolor
152,19950,19,17038,Petrol,110,0,0,1600,5,1130,Manual,NonMetcolor
153,18450,10,13747,Petrol,97,1,0,1400,5,1110,Manual,Metcolor
154,19500,12,13634,Petrol,110,1,0,1600,5,1115,Manual,Metcolor
155,21750,13,13178,Petrol,110,1,0,1600,5,1130,Manual,Metcolor
156,16868,15,13157,Petrol,97,1,0,1400,4,1085,Manual,Metcolor
157,19500,16,13000,Petrol,110,1,0,1600,4,1105,Manual,Metcolor
158,18900,11,12500,Petrol,110,1,0,1600,5,1115,Manual,Metcolor
159,19750,17,11999,Petrol,110,1,0,1600,5,1130,Manual,Metcolor
160,19750,16,11754,Petrol,110,0,1,1600,5,1180,Auto,NonMetcolor
161,18950,16,11000,Petrol,110,1,0,1600,4,1105,Manual,Metcolor
162,20750,17,10000,Petrol,110,0,0,1598,5,1105,Manual,NonMetcolor
163,19600,9,7650,Petrol,110,1,0,1600,5,1115,Manual,Metcolor
164,19500,14,6500,Petrol,110,1,0,1600,4,1100,Manual,Metcolor
165,17650,11,6155,Petrol,97,1,0,1400,5,1110,Manual,Metcolor
166,19950,14,6000,Petrol,110,0,0,1600,5,1130,Manual,NonMetcolor
167,19950,14,5459,Petrol,110,1,0,1600,5,1130,Manual,Metcolor
168,20950,14,5278,Petrol,110,1,1,1600,4,1150,Auto,Metcolor
169,20500,12,5000,Petrol,110,1,0,1600,5,1130,Manual,Metcolor
170,17795,9,1,Petrol,98,1,0,1400,4,1065,Manual,Metcolor
171,18245,9,1,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
172,23750,8,11000,Petrol,110,1,0,1600,5,1130,Manual,Metcolor
173,19500,8,10077,Petrol,97,1,0,1400,5,1110,Manual,Metcolor
174,18950,8,10000,Petrol,97,1,0,1400,5,1110,Manual,Metcolor
